state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
AR,5612,97435,0,86,584,379,759,14,110,4029,A,113,584,485619,39620,407151,5612,1900,149,154,3617,103047,103047,3771,103047,3,49
AS,0,124,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,124,124,0,124,0,0
AZ,15608,160395,0,796,2943,311,759,203,197,3949,A+,775,2943,176003,39620,407151,38775,1900,149,293,4083,176003,176003,4376,176003,12,58
CA,88444,1378329,0,4762,5109,1317,759,180,197,0,B,3630,5109,1466773,39620,407151,88444,1900,149,2247,43399,1466773,1466773,45646,1466773,88,0
CO,23191,119034,0,620,4037,379,759,180,197,3580,A,1062,4037,485619,39620,407151,20903,1900,149,394,6220,142225,142225,6614,142225,61,47
CT,39640,162688,0,740,12538,379,759,180,197,7127,B,3637,12538,208367,39620,407151,38775,1900,149,432,5449,202328,202328,5881,202328,55,1592
DC,7893,35100,0,342,5109,112,759,74,197,1069,A+,418,5109,485619,39620,407151,38775,1900,149,105,1132,42993,42993,1237,42993,6,0
DE,8529,40457,0,221,5109,379,759,180,197,4296,B,420,5109,485619,39620,407151,38775,367,53,143,1301,48986,48986,1444,48986,3,0
FL,49451,786045,1487,961,9372,379,759,180,197,0,A,2268,9372,940758,66424,871876,49451,2268,149,776,20791,836983,835496,21567,835496,46,172
GA,41218,386031,0,889,7313,379,1658,180,197,0,A,1785,7313,427249,39620,407151,41218,1900,149,813,18705,427249,427249,19518,427249,31,78
GU,165,5114,0,961,5109,379,759,180,197,125,C,5,5109,5331,39620,5037,160,1900,149,0,215,5279,5279,215,5279,0,0
HI,647,47338,0,961,83,379,759,180,197,579,C,17,83,485619,39620,407151,38775,1900,149,4,832,47985,47985,836,47985,0,1
IA,16504,103746,0,362,5109,123,759,79,197,9079,A+,425,5109,485619,39620,407151,16504,1900,149,334,3351,120250,120250,3685,120250,19,0
ID,2534,37061,0,19,223,379,92,180,197,1720,A,77,223,39362,39620,407151,2301,1900,149,28,679,39595,39595,707,39595,0,2
IL,105444,591689,0,3928,5109,1060,759,589,197,0,A,4715,5109,485619,39620,407151,105444,4715,149,2758,22355,697133,697133,25113,697133,108,0
IN,30409,178152,0,1203,5285,416,1166,173,197,0,A+,1941,5285,485619,39620,407151,38775,1791,150,473,5093,208561,208561,5566,208561,28,896
KS,8958,67476,0,961,787,379,269,180,120,485,A+,185,787,485619,39620,407151,38775,1900,149,419,4812,76434,76434,5231,76434,7,27
KY,8286,157954,0,475,2041,92,886,180,197,3008,A,386,2041,485619,39620,407151,8175,385,1,119,7449,166240,166240,7568,166240,10,25
LA,36925,274883,0,867,5109,379,759,104,197,26249,B,2668,5109,485619,39620,407151,38775,2545,123,421,6006,311808,311808,6427,311808,39,0
MA,90889,420755,0,2323,9162,628,759,180,197,0,A,6228,9162,485619,39620,407151,90889,6228,149,805,9353,511644,511644,10158,511644,80,122
MD,44424,183478,0,1329,7634,506,759,180,197,3243,B,2274,7634,485619,39620,407151,44424,2169,105,893,6776,227902,227902,7669,227902,53,149
ME,1948,35450,0,45,240,21,759,12,197,1192,B,75,240,37725,2201,35450,1749,75,149,71,0,37398,37398,71,37398,2,5
MI,61075,441282,0,955,5109,470,759,348,197,28234,A+,5586,5109,512752,71470,441282,56612,5375,237,465,19494,502357,502357,19959,502357,31,0
MN,22374,186436,0,534,2432,233,806,180,197,12696,A,851,2432,208810,39620,407151,19005,842,9,792,8930,208810,208810,9722,208810,33,52
MO,11558,161388,0,711,5109,379,759,93,197,0,B,671,5109,167199,14046,152883,11558,1900,149,218,10636,172946,172946,10854,172946,10,0
MP,22,4296,0,961,5109,379,759,180,197,13,D,2,5109,4318,39620,407151,22,2,149,0,229,4318,4318,229,4318,0,0
MS,12624,125349,0,557,1966,159,759,85,197,7681,A,596,1966,137973,39620,407151,12624,1900,149,402,11601,137973,137973,12003,137973,16,34
MT,479,31378,0,3,65,379,759,180,197,441,C,16,65,485619,39620,407151,479,1900,149,0,1333,31857,31857,1333,31857,0,0
NC,21618,281606,0,568,5109,379,759,180,197,11637,A,728,5109,485619,39620,407151,21618,728,149,758,11821,303224,303224,12579,303224,12,0
ND,2317,60513,0,39,147,379,759,180,197,1405,C,39,147,485619,39620,407151,2317,39,149,88,1463,62830,62830,1551,62830,1,3
NE,11425,66994,0,961,5109,379,759,180,197,0,D,143,5109,485619,39620,407151,11425,1900,149,303,2476,78419,78419,2779,78419,5,0
NH,3935,51165,1526,97,393,379,120,180,197,1767,B,199,393,485619,39620,407151,3935,1900,149,67,2203,56626,55100,2270,55100,9,8
NJ,152719,402595,0,3049,5109,846,759,674,197,24491,A+,10985,5109,485619,39620,407151,152719,10985,149,1247,9793,555314,555314,11040,555314,142,0
NM,6472,146295,0,205,1139,379,759,180,197,2041,C,294,1139,485619,39620,407151,6472,1900,149,155,5268,152767,152767,5423,152767,11,0
NV,7401,92540,0,404,5109,90,759,51,197,339,A+,400,5109,117606,39620,407151,7401,1900,149,146,5413,99941,99941,5559,99941,3,0
NY,358154,1242639,0,4844,87843,1581,759,1254,197,63292,A,23195,87843,485619,39620,407151,358154,1900,149,1696,44042,1600793,1600793,45738,1600793,112,205
OH,30794,277006,0,879,5379,362,1416,232,197,0,B,1872,5379,485619,39620,407151,28758,1691,181,627,8095,307800,307800,8722,307800,36,84
OK,5849,147318,0,190,926,94,759,180,197,4533,A+,307,926,152998,6589,146409,38775,1900,149,169,3403,153167,153167,3572,153167,3,9
OR,3864,103975,0,146,737,47,759,16,197,1376,A+,147,737,485619,39620,407151,3770,1900,149,47,2568,107839,107839,2615,107839,2,5
PA,66258,312743,0,1580,5109,379,759,368,197,37767,A,4984,5109,485619,39620,407151,38775,1900,149,866,9229,379001,379001,10095,379001,115,0
PR,3030,40488,0,96,5109,12,759,6,197,0,B,126,5109,41701,1572,40095,1221,60,66,117,0,43518,43518,117,43518,0,0
RI,13949,87850,0,242,1537,56,759,40,197,1084,A+,579,1537,138609,17749,120860,13949,1900,149,201,1451,101799,101799,1652,101799,23,31
SC,9638,140385,0,429,1534,379,759,180,197,5743,A+,419,1534,154746,14361,140385,9638,419,149,463,11322,150023,150023,11785,150023,12,90
SD,4356,27988,0,83,351,379,759,180,197,3267,C,50,351,485619,39620,407151,38775,1900,149,106,937,32344,32344,1043,32344,2,9
TN,19394,348776,0,570,1560,379,759,180,197,12566,B,315,1560,485619,39620,407151,19394,315,149,433,7154,368170,368170,7587,368170,2,21
TX,53449,687913,0,1578,5109,379,759,180,197,31223,B,1480,5109,740181,39620,407151,53449,1900,149,1181,0,741362,741362,1181,741362,40,0
UT,8057,178777,0,163,660,379,210,180,88,4748,B,93,660,485619,39620,407151,8057,1900,149,183,3777,186834,186834,3960,186834,1,13
VA,34950,190225,464,1459,6422,366,759,207,197,4963,A+,1136,6422,223433,39620,407151,33208,1100,36,813,5763,225639,225175,6576,225175,37,153
VI,69,1343,45,961,5109,379,759,180,197,61,C,6,5109,485619,39620,407151,38775,6,149,0,29,1457,1412,29,1412,0,0
VT,952,24781,0,16,5109,379,759,180,197,834,B,54,5109,485619,39620,407151,952,54,149,2,30,25733,25733,32,25733,0,0
WA,21283,280444,0,332,3156,379,759,85,197,0,B,1044,3156,485619,39620,407151,20711,1044,149,295,4273,301727,301727,4568,301727,7,31
WI,16340,172703,187,583,2259,133,535,180,197,8362,A+,496,2259,485619,39620,407151,14396,496,149,548,9465,189230,189043,10013,189043,9,41
WV,1616,83213,0,47,5109,13,759,9,197,983,B,71,5109,485619,39620,407151,38775,1900,149,23,1665,84829,84829,1688,84829,1,0
WY,803,18621,0,10,76,379,759,180,197,551,C,12,76,19424,699,18724,608,1900,149,16,568,19424,19424,584,19424,1,1
AK,402,39143,0,19,5109,379,759,180,197,356,C,10,5109,39545,39620,407151,402,10,149,0,2500,39545,39545,2500,39545,0,0
AL,13119,157620,0,574,1528,379,526,180,311,0,B,529,1528,485619,39620,407151,13119,529,149,375,5914,170739,170739,6289,170739,12,35
AR,5458,93818,0,78,535,379,759,14,101,3915,A,110,535,485619,39620,407151,5458,1900,149,455,2563,99276,99276,3018,99276,3,0
AS,0,124,0,961,5109,379,759,180,197,0,D,0,5109,485619,39620,407151,0,1900,149,0,0,124,124,0,124,0,0
AZ,15315,156312,0,812,2885,299,759,197,197,3872,A+,763,2885,171627,39620,407151,38775,1900,149,418,5774,171627,171627,6192,171627,16,49
CA,86197,1334930,0,4735,5109,1310,759,180,197,0,B,3542,5109,1421127,39620,407151,86197,1900,149,2140,38867,1421127,1421127,41007,1421127,106,0
CO,22797,112814,0,613,3990,379,759,180,197,3532,A,1001,3990,485619,39620,407151,20595,1900,149,315,3459,135611,135611,3774,135611,33,35
CT,39208,157239,0,816,10946,379,759,180,197,6264,B,3582,10946,202328,39620,407151,38775,1900,149,191,5538,196447,196447,5729,196447,53,0
DC,7788,33968,0,336,5109,379,759,74,197,1061,A,412,5109,485619,39620,407151,38775,1900,149,237,1100,41756,41756,1337,41756,5,0
DE,8386,39156,0,220,5109,379,759,180,197,4130,B,417,5109,485619,39620,407151,38775,364,53,192,1938,47542,47542,2130,47542,3,0
FL,48675,765254,1471,961,9200,379,759,180,197,0,A,2222,9200,940758,66424,871876,48675,2222,149,1204,41377,815400,813929,42581,813929,49,266
GA,40405,367326,0,919,7235,379,1642,180,197,0,A,1754,7235,407731,39620,407151,40405,1900,149,758,4033,407731,407731,4791,407731,67,128
GU,165,4899,0,961,5109,379,759,180,197,125,C,5,5109,5167,160,4875,160,1900,149,0,92,5064,5064,92,5064,0,0
HI,643,46506,0,961,82,379,759,180,197,578,C,17,82,485619,39620,407151,38775,1900,149,2,843,47149,47149,845,47149,0,0
IA,16170,100395,0,376,5109,125,759,80,197,8672,A+,406,5109,485619,39620,407151,16170,1900,149,556,5261,116565,116565,5817,116565,18,0
ID,2506,36382,0,27,221,379,91,180,197,1688,B,77,221,38660,39620,407151,2278,1900,149,30,291,38888,38888,321,38888,0,6
IL,102686,569334,0,4107,5109,1088,759,609,197,0,A,4607,5109,485619,39620,407151,102686,4607,149,2268,27039,672020,672020,29307,672020,82,0
IN,29936,173059,0,1166,4389,409,990,175,197,0,A+,1913,4389,485619,39620,407151,38775,1764,149,662,6595,202995,202995,7257,202995,49,0
KS,8539,62664,0,961,760,379,258,180,116,473,A+,178,760,485619,39620,407151,38775,1900,149,0,0,71203,71203,0,71203,0,0
KY,8167,150505,0,474,2016,98,879,180,197,2919,A,376,2016,485619,39620,407151,8059,375,1,98,4588,158672,158672,4686,158672,10,6
LA,36504,268877,0,884,5109,379,759,107,197,26249,B,2629,5109,485619,39620,407151,38775,2506,123,1188,18223,305381,305381,19411,305381,21,0
MA,90084,411402,0,2396,9040,647,759,180,197,0,A,6148,9040,485619,39620,407151,90084,6148,149,1114,10419,501486,501486,11533,501486,82,143
MD,43531,176702,0,1374,7485,526,759,180,197,3099,B,2221,7485,485619,39620,407151,43531,2116,105,1208,3695,220233,220233,4903,220233,23,92
ME,1877,35450,0,41,235,21,759,12,197,1145,B,73,235,37725,2201,35450,1678,73,149,58,0,37327,37327,58,37327,0,4
MI,60610,421788,0,1054,5109,472,759,361,197,28234,A+,5555,5109,492412,70624,421788,56445,5349,237,459,15940,482398,482398,16399,482398,41,0
MN,21582,177506,0,566,2380,229,787,180,197,12488,A,818,2380,199088,39620,407151,18200,809,9,973,7307,199088,199088,8280,199088,32,72
MO,11340,150752,0,697,5109,379,759,99,197,0,B,661,5109,163684,13853,149562,11340,1900,149,108,0,162092,162092,108,162092,30,0
MP,22,4067,0,961,5109,379,759,180,197,13,D,2,5109,4089,39620,407151,22,2,149,1,271,4089,4089,272,4089,0,0
MS,12222,113748,0,638,1932,158,759,92,197,7681,A,580,1932,125970,39620,407151,12222,1900,149,255,5035,125970,125970,5290,125970,10,31
MT,479,30045,0,3,65,379,759,180,197,440,C,16,65,485619,39620,407151,479,1900,149,1,797,30524,30524,798,30524,0,0
NC,20860,269785,0,578,5109,379,759,180,197,11637,A,716,5109,485619,39620,407151,20860,716,149,738,12304,290645,290645,13042,290645,14,0
ND,2229,59050,0,39,144,379,759,180,197,1340,C,38,144,485619,39620,407151,2229,38,149,134,1945,61279,61279,2079,61279,1,2
NE,11122,64518,0,961,5109,379,759,180,197,0,D,138,5109,485619,39620,407151,11122,1900,149,276,3229,75640,75640,3505,75640,6,0
NH,3868,48962,1434,103,385,379,109,180,197,1388,B,190,385,485619,39620,407151,3868,1900,149,147,1795,54264,52830,1942,52830,8,2
NJ,151472,392802,0,3208,5109,896,759,700,197,24236,A+,10843,5109,485619,39620,407151,151472,10843,149,1073,11858,544274,544274,12931,544274,96,0
NM,6317,141027,0,206,1139,379,759,180,197,1985,C,283,1139,485619,39620,407151,6317,1900,149,125,4973,147344,147344,5098,147344,7,0
NV,7255,87127,0,410,5109,92,759,52,197,339,A+,397,5109,111323,39620,407151,7255,1900,149,89,3122,94382,94382,3211,94382,4,0
NY,356458,1198597,0,5187,87638,1695,759,1345,197,62826,A,23083,87638,485619,39620,407151,356458,1900,149,2088,47131,1555055,1555055,49219,1555055,107,179
OH,30167,268911,0,892,5295,349,1397,258,197,0,B,1836,5295,485619,39620,407151,28174,1653,183,731,8819,299078,299078,9550,299078,55,97
OK,5680,143915,0,201,917,78,759,180,197,4361,A+,304,917,149447,6464,142983,38775,1900,149,148,5076,149595,149595,5224,149595,5,12
OR,3817,101407,0,140,732,40,759,14,197,1406,A+,145,732,485619,39620,407151,3725,1900,149,16,3059,105224,105224,3075,105224,1,9
PA,65392,303514,0,1654,5109,379,759,361,197,0,B,4869,5109,485619,39620,407151,38775,1900,149,1726,17480,368906,368906,19206,368906,245,0
PR,2913,40488,0,114,5109,13,759,7,197,0,C,126,5109,41701,1572,40095,1213,60,66,47,40488,43401,43401,40535,43401,1,0
RI,13748,86399,0,254,1506,56,759,41,197,1047,A+,556,1506,135291,17405,117886,13748,1900,149,169,1939,100147,100147,2108,100147,18,20
SC,9175,129063,0,414,1444,379,759,180,197,5451,A+,407,1444,485619,39620,407151,9175,407,149,119,3056,138238,138238,3175,138238,8,0
SD,4250,27051,0,91,342,379,759,180,197,3145,C,48,342,485619,39620,407151,38775,1900,149,73,839,31301,31301,912,31301,2,9
TN,18961,341622,0,601,1539,379,759,180,197,12191,B,313,1539,485619,39620,407151,18961,313,149,429,6141,360583,360583,6570,360583,4,24
TX,52268,687913,0,1680,5109,379,759,180,197,30341,B,1440,5109,740181,39620,407151,52268,1900,149,945,18308,740181,740181,19253,740181,21,0
UT,7874,175000,0,169,647,379,207,180,88,4596,B,92,647,485619,39620,407151,7874,1900,149,164,3046,182874,182874,3210,182874,2,16
VA,34137,184462,490,1491,6269,351,759,191,197,4778,A+,1099,6269,216890,39620,407151,32428,1064,35,1229,4744,219089,218599,5973,218599,25,210
VI,69,1314,26,961,5109,379,759,180,197,61,C,6,5109,485619,39620,407151,38775,6,149,0,0,1409,1383,0,1383,0,0
VT,950,24751,0,14,5109,379,759,180,197,827,B,54,5109,485619,39620,407151,950,54,149,6,637,25701,25701,643,25701,0,0
WA,20988,276171,0,242,3125,379,759,70,197,0,B,1037,3125,485619,39620,407151,20403,1037,149,204,4468,297159,297159,4672,297159,6,3125
WI,15792,163238,220,524,2218,126,526,180,197,8012,A+,487,2218,485619,39620,407151,13885,487,149,523,8938,179250,179030,9461,179030,6,57
WV,1593,81548,0,46,5109,12,759,9,197,983,B,70,5109,485619,39620,407151,1593,1900,149,48,2452,83141,83141,2500,83141,1,0
WY,787,18053,0,8,75,379,759,180,197,534,C,11,75,18649,672,17495,596,1900,149,0,0,18840,18840,0,18840,0,1
AK,402,36643,0,16,5109,379,759,180,197,352,C,10,5109,37045,39620,407151,402,10,149,3,662,37045,37045,665,37045,0,0
AL,12744,151706,0,560,1493,379,524,180,309,0,B,517,1493,485619,39620,407151,12744,517,149,368,6516,164450,164450,6884,164450,13,40
AR,5003,91255,0,78,535,379,759,14,101,3852,A,107,535,485619,39620,407151,5003,1900,149,80,2477,96258,96258,2557,96258,5,0
AS,0,124,0,961,5109,379,759,180,197,0,D,0,5109,485619,39620,407151,0,1900,149,0,0,124,124,0,124,0,0
AZ,14897,150538,0,810,2836,298,759,208,197,3773,A+,747,2836,165435,39620,407151,38775,1900,149,331,3533,165435,165435,3864,165435,43,36
CA,84057,1296063,0,4681,5109,1345,759,180,197,0,B,3436,5109,1380120,39620,407151,84057,1900,149,2262,38542,1380120,1380120,40804,1380120,102,0
CO,22482,109355,0,626,3955,379,759,180,197,3478,A,968,3955,485619,39620,407151,20304,1900,149,280,224,131837,131837,504,131837,47,56
CT,39017,151701,0,887,10946,379,759,180,197,6264,B,3529,10946,196447,39620,407151,38775,1900,149,587,4611,190718,190718,5198,190718,57,0
DC,7551,32868,0,336,5109,379,759,74,197,1059,A,407,5109,485619,39620,407151,38775,1900,149,117,928,40419,40419,1045,40419,7,0
DE,8194,37218,0,220,5109,379,759,180,197,3965,B,414,5109,485619,39620,407151,38775,362,52,157,1123,45412,45412,1280,45412,6,0
FL,47471,723877,1357,961,8934,379,759,180,197,0,A+,2173,8934,887380,64172,821168,47471,2173,149,527,54966,772705,771348,55493,771348,44,190
GA,39647,363293,0,959,7107,379,1617,180,197,0,A,1687,7107,402940,39620,407151,39647,1900,149,926,23858,402940,402940,24784,402940,23,80
GU,165,4807,0,961,5109,379,759,180,197,125,C,5,5109,5035,149,4754,160,1900,149,11,134,4972,4972,145,4972,0,0
HI,641,45663,0,961,82,379,759,180,197,578,C,17,82,485619,39620,407151,38775,1900,149,1,1280,46304,46304,1281,46304,0,0
IA,15614,95134,0,381,5109,126,759,84,197,8362,A+,388,5109,485619,39620,407151,15614,1900,149,265,2835,110748,110748,3100,110748,16,0
ID,2476,36091,0,28,215,379,89,180,197,1668,B,77,215,38344,39620,407151,2253,1900,149,21,477,38567,38567,498,38567,3,2
IL,100418,542295,0,3914,5109,1005,759,554,197,0,A,4525,5109,485619,39620,407151,100418,4525,149,2388,18641,642713,642713,21029,642713,146,0
IN,29274,166464,0,1288,4389,431,990,197,197,0,A+,1864,4389,485619,39620,407151,38775,1716,148,569,5839,195738,195738,6408,195738,40,0
KS,8539,62664,0,961,760,379,258,180,116,473,A+,178,760,485619,39620,407151,38775,1900,149,199,4014,71203,71203,4213,71203,5,20
KY,8069,145917,0,443,2010,269,875,180,197,2826,A,366,2010,485619,39620,407151,7979,365,1,0,0,153986,153986,0,153986,0,30
LA,35316,250654,0,931,5109,379,759,110,197,26249,B,2608,5109,485619,39620,407151,38775,2485,123,278,7619,285970,285970,7897,285970,27,0
MA,88970,400983,0,2518,8897,675,759,180,197,0,A,6066,8897,485619,39620,407151,88970,6066,149,1045,11968,489953,489953,13013,489953,128,131
MD,42323,173007,0,1410,7393,539,759,180,197,2993,B,2198,7393,485619,39620,407151,42323,2093,105,777,5895,215330,215330,6672,215330,34,194
ME,1819,35450,0,43,231,24,759,12,197,1100,B,73,231,37725,2201,35450,1632,73,149,78,13358,37269,37269,13436,37269,0,6
MI,60151,405848,0,1066,5109,492,759,332,197,28234,A+,5514,5109,475714,69866,405848,56132,5318,236,575,13640,465999,465999,14215,465999,44,0
MN,20609,170199,0,550,2308,212,773,180,197,12227,A,786,2308,190808,39620,407151,17670,777,9,767,6190,190808,190808,6957,190808,29,87
MO,11232,150752,0,546,5109,379,759,103,197,0,B,631,5109,159636,13629,145742,11232,1900,149,152,7722,161984,161984,7874,161984,15,0
MP,21,3796,0,961,5109,379,759,180,197,13,D,2,5109,3817,39620,407151,21,2,149,0,0,3817,3817,0,3817,0,0
MS,11967,108713,0,644,1901,157,759,89,197,7681,A,570,1901,120680,39620,407151,11967,1900,149,263,2657,120680,120680,2920,120680,16,61
MT,478,29248,0,3,65,379,759,180,197,440,C,16,65,485619,39620,407151,478,1900,149,7,769,29726,29726,776,29726,0,0
NC,20122,257481,0,554,5109,379,759,180,197,11637,A,702,5109,485619,39620,407151,20122,702,149,422,12173,277603,277603,12595,277603,11,0
ND,2095,57105,0,38,142,379,759,180,197,1302,C,37,142,485619,39620,407151,2095,37,149,101,1368,59200,59200,1469,59200,0,7
NE,10846,61289,0,961,5109,379,759,180,197,0,D,132,5109,485619,39620,407151,10846,1900,149,221,1930,72135,72135,2151,72135,7,0
NH,3721,47167,861,105,383,379,109,180,197,1275,B,182,383,485619,39620,407151,3721,1900,149,69,1345,51749,50888,1414,50888,10,15
NJ,150399,380944,0,3405,5109,969,759,750,197,23945,A+,10747,5109,485619,39620,407151,150399,10747,149,1386,9775,531343,531343,11161,531343,161,0
NM,6192,136054,0,204,1139,379,759,180,197,1882,C,276,1139,485619,39620,407151,6192,1900,149,96,4530,142246,142246,4626,142246,6,253
NV,7166,84005,0,437,5109,107,759,60,197,336,A,393,5109,107666,39620,407151,7046,1900,149,120,3496,91171,91171,3616,91171,3,0
NY,354370,1151466,0,5570,87459,1761,759,1421,197,61886,A,22976,87459,485619,39620,407151,354370,1900,149,1525,36572,1505836,1505836,38097,1505836,133,290
OH,29436,260092,0,902,5198,333,1369,248,197,0,B,1781,5198,485619,39620,407151,27517,1603,178,484,11442,289528,289528,11926,289528,61,81
OK,5532,138839,0,209,905,92,759,180,197,4266,A+,299,905,145218,6379,138839,38775,1900,149,43,5181,144371,144371,5224,144371,5,8
OR,3801,98348,0,152,723,42,759,17,197,1406,A+,144,723,485619,39620,407151,3701,1900,149,75,2354,102149,102149,2429,102149,4,9
PA,63666,286034,0,1818,5109,379,759,377,197,0,B,4624,5109,485619,39620,407151,38775,1900,149,0,0,349700,349700,0,349700,0,0
PR,2866,,0,110,5109,20,759,5,197,0,C,125,5109,485619,39620,407151,1206,66,149,61,0,2866,2866,61,2866,1,0
RI,13579,84460,0,257,1486,58,759,45,197,1030,A+,538,1486,131182,17041,114141,13579,1900,149,187,1525,98039,98039,1712,98039,6,22
SC,9056,126007,0,961,1444,379,759,180,197,5451,A+,399,1444,485619,39620,407151,9056,399,149,0,0,135063,135063,0,135063,0,0
SD,4177,26212,0,81,333,379,759,180,197,3023,C,46,333,485619,39620,407151,38775,1900,149,92,588,30389,30389,680,30389,0,6
TN,18532,335481,0,652,1515,379,759,180,197,11783,B,309,1515,485619,39620,407151,18532,309,149,154,7736,354013,354013,7890,354013,4,17
TX,51323,669605,0,1791,5109,379,759,180,197,30341,B,1419,5109,720928,39620,407151,51323,1900,149,1411,19371,720928,720928,20782,720928,50,0
UT,7710,171954,0,144,631,379,200,180,87,4423,B,90,631,485619,39620,407151,7710,1900,149,192,2161,179664,179664,2353,179664,2,12
VA,32908,179718,518,1536,6059,370,759,202,197,4523,A+,1074,6059,210965,39620,407151,31247,1040,34,763,9074,213144,212626,9837,212626,33,291
VI,69,1314,26,961,5109,379,759,180,197,61,C,6,5109,485619,39620,407151,38775,6,149,0,16,1409,1383,16,1383,0,0
VT,944,24114,0,15,5109,379,759,180,197,824,B,54,5109,485619,39620,407151,944,54,149,0,0,25058,25058,0,25058,0,0
WA,20784,271703,0,168,5109,52,759,180,197,0,B,1031,5109,485619,39620,407151,20112,1031,149,249,5389,292487,292487,5638,292487,29,0
WI,15269,154300,211,609,2161,129,515,180,197,7728,A+,481,2161,485619,39620,407151,13413,481,149,577,6063,169780,169569,6640,169569,14,51
WV,1545,79096,0,58,5109,16,759,9,197,950,B,69,5109,485619,39620,407151,1545,1900,149,36,2304,80641,80641,2340,80641,1,0
WY,787,18053,0,9,74,379,759,180,197,528,C,11,74,18649,672,17495,596,1900,149,21,969,18840,18840,990,18840,1,1
AK,399,35981,0,16,5109,379,759,180,197,348,B,10,5109,36380,39620,407151,399,10,149,0,769,36380,36380,769,36380,0,0
AL,12376,145190,0,489,1453,379,517,180,306,0,B,504,1453,485619,39620,407151,12376,504,149,290,153,157566,157566,443,157566,15,37
AR,4923,88778,0,78,535,379,759,14,101,3739,A,102,535,485619,39620,407151,4923,1900,149,110,8352,93701,93701,8462,93701,2,5
AS,0,124,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,19,124,124,19,124,0,0
AZ,14566,147005,0,792,2800,318,759,201,197,3693,A+,704,2800,161571,39620,407151,38775,1900,149,396,4702,161571,161571,5098,161571,18,43
CA,81795,1257521,0,4363,5109,1307,759,180,197,0,B,3334,5109,1339316,39620,407151,81795,1900,149,1365,45279,1339316,1339316,46644,1339316,32,0
CO,22202,109131,0,626,3899,379,759,180,197,3431,A,921,3899,485619,39620,407151,20028,1900,149,264,2574,131333,131333,2838,131333,43,27
CT,38430,147090,0,914,10946,379,759,180,197,6264,B,3472,10946,190718,39620,407151,38775,1900,149,314,7527,185520,185520,7841,185520,23,0
DC,7434,31940,0,375,5109,379,759,77,197,1040,A,400,5109,485619,39620,407151,38775,1900,149,164,1385,39374,39374,1549,39374,8,0
DE,8037,36095,0,236,5109,379,759,180,197,3760,B,408,5109,485619,39620,407151,38775,357,51,168,1506,44132,44132,1674,44132,9,0
FL,46944,668911,1369,961,8744,379,759,180,197,0,A+,2129,8744,819927,63148,754767,46442,2129,149,502,38941,717224,715855,39443,715855,56,191
GA,38721,339435,0,986,7027,379,1589,180,197,0,A+,1664,7027,378156,39620,407151,38721,1900,149,640,13227,378156,378156,13867,378156,22,111
GU,154,4673,0,961,5109,379,759,180,197,126,C,5,5109,4920,149,4645,149,1900,149,0,104,4827,4827,104,4827,0,0
HI,640,44383,0,961,82,379,759,180,197,574,B,17,82,485619,39620,407151,38775,1900,149,0,2978,45023,45023,2978,45023,0,0
IA,15349,92299,0,383,5109,126,759,83,197,8130,A+,372,5109,485619,39620,407151,15349,1900,149,394,4106,107648,107648,4500,107648,17,0
ID,2455,35614,0,28,213,379,89,180,197,1649,B,74,213,37847,39620,407151,2233,1900,149,36,1361,38069,38069,1397,38069,1,0
IL,98030,523654,0,4002,5109,993,759,576,197,0,A,4379,5109,485619,39620,407151,98030,4379,149,1545,16898,621684,621684,18443,621684,145,0
IN,28705,160625,0,1268,4389,421,990,206,197,0,A+,1824,4389,485619,39620,407151,38775,1678,146,450,4968,189330,189330,5418,189330,59,0
KS,8340,58650,0,961,740,379,250,180,115,465,A,173,740,485619,39620,407151,38775,1900,149,0,0,66990,66990,0,66990,0,0
KY,8069,145917,0,447,1980,277,866,180,197,2826,A+,366,1980,485619,39620,407151,7883,345,1,381,23920,153986,153986,24301,153986,32,84
LA,35038,243035,0,1004,5109,379,759,112,197,26249,B,2581,5109,485619,39620,407151,38775,2458,123,329,7996,278073,278073,8325,278073,18,0
MA,87925,389015,0,2472,8766,672,759,180,197,0,A+,5938,8766,485619,39620,407151,87925,5938,149,873,6868,476940,476940,7741,476940,76,145
MD,41546,167112,0,1421,7199,537,759,180,197,2868,B,2164,7199,485619,39620,407151,41546,2061,103,1784,5368,208658,208658,7152,208658,42,113
ME,1741,22092,0,44,225,19,759,11,197,1088,B,73,225,33035,39620,407151,1561,73,149,28,0,23833,23833,28,23833,2,2
MI,59576,392208,0,1079,5109,486,759,351,197,28234,A+,5470,5109,461365,69157,392208,55838,5278,233,764,16093,451784,451784,16857,451784,43,0
MN,19842,164009,0,545,2221,229,750,180,197,11540,A+,757,2221,183851,39620,407151,17029,748,9,855,5522,183851,183851,6377,183851,17,93
MO,11080,143030,0,721,5109,379,759,103,197,0,B,616,5109,154773,13393,141119,11080,1900,149,135,2637,154110,154110,2772,154110,11,0
